Date,Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Avg. Order Value,Revenue
20170108,Referral,"25,533","6,832","31,326",14.23%,9.62,0:06:54,4.80%,"1,503",R$540.40,"R$812,215.39"
20170108,Social,"11,253","6,350","12,121",17.74%,6.61,0:03:25,0.60%,73,R$363.05,"R$26,502.50"
20170109,(Other),"7,291","2,230","8,562",24.84%,6.5,0:04:14,0.95%,81,R$434.30,"R$35,178.10"
20170109,Direct,"135,817","82,368","161,805",18.69%,7.77,0:05:48,2.36%,"3,823",R$728.15,"R$2,783,704.80"
20170109,Display,"23,024","7,005","33,375",27.80%,6.69,0:04:30,1.48%,494,R$696.71,"R$344,174.50"
20170109,Email,1,0,1,0.00%,2,0:00:00,0.00%,0,R$0.00,R$0.00
20170109,Organic Search,"111,638","42,324","136,744",15.49%,9.13,0:06:51,2.17%,"2,961",R$708.01,"R$2,096,414.06"
20170109,Paid Search,"103,494","48,034","142,498",17.56%,9.21,0:06:16,2.83%,"4,026",R$705.22,"R$2,839,228.65"
20170109,Referral,"39,362","9,389","48,735",13.89%,8.94,0:06:21,3.35%,"1,631",R$690.02,"R$1,125,417.78"
20170109,Social,"4,406","1,813","4,898",21.31%,6.53,0:04:00,0.78%,38,R$693.38,"R$26,348.62"
20170110,(Other),"6,221","1,368","7,162",22.69%,6.61,0:04:17,0.73%,52,R$570.62,"R$29,672.47"
20170110,Direct,"122,423","74,071","145,197",18.75%,7.58,0:05:45,2.26%,"3,284",R$758.52,"R$2,490,963.39"
20170110,Display,"21,555","6,405","31,621",28.08%,6.46,0:04:19,1.35%,428,R$713.47,"R$305,366.58"
20170110,Email,1,0,1,0.00%,10,0:02:22,0.00%,0,R$0.00,R$0.00
20170110,Organic Search,"97,333","35,706","119,732",15.63%,9.09,0:06:49,2.27%,"2,720",R$720.25,"R$1,959,087.16"
20170110,Paid Search,"94,080","42,131","127,173",17.72%,9.13,0:06:18,2.74%,"3,479",R$730.92,"R$2,542,872.64"
20170110,Referral,"36,379","8,606","45,024",14.95%,8.83,0:06:18,3.22%,"1,451",R$725.46,"R$1,052,647.57"
20170110,Social,"3,916","1,778","4,355",22.55%,6.01,0:03:45,0.64%,28,R$531.07,"R$14,870.02"
20170111,(Other),"10,057","2,819","11,646",20.75%,7,0:04:12,0.83%,97,R$598.76,"R$58,080.17"
20170111,Direct,"117,626","70,690","141,333",18.75%,7.76,0:05:49,2.54%,"3,593",R$730.55,"R$2,624,855.28"
